,business_id,name,city,state,categories
15,cTSczU-9-cYUEM2DlNJcQw,1000 Figs,New Orleans,LA,"Falafel, Mediterranean, Middle Eastern, Restaurants, Cafes, Greek, Vegetarian"
18,mcr1lAEdvGLMJhuPwI3I2A,101 Taiwanese Cuisine,Reno,NV,"Food, Restaurants, Chinese, Bubble Tea, Taiwanese"
20,iteoJ5b-zJHwkIqJsljrSQ,10th Street Baking,Belleville,IL,"Restaurants, Bakeries, Food"
27,HxU-aiv_9aqwiqYdXeEj1g,12 South Bistro,Nashville,TN,"Restaurants, Bistros, Italian"
29,H-cNdJ7CGHHu0iZZ729NKg,120 West Bar & Grill,Indianapolis,IN,"Food, Hotels & Travel, Restaurants, Hotels, American (New), Event Planning & Services"
30,v72HalBu5fQIFTD-oqhSgQ,1200 Chophouse,St. Petersburg,FL,"Steakhouses, American (New), Restaurants"
31,83Fw7PpQR9GY-IEokD7mmg,1201 Bar,Philadelphia,PA,"Dive Bars, American (Traditional), Nightlife, Restaurants, Bars"
43,E3IjhZlqCZG1-HJyWTqw1g,17 Snyder Chinese,Philadelphia,PA,"Food Delivery Services, Pan Asian, Dim Sum, Beer, Wine & Spirits, Chinese, Food, Restaurants"
52,uotTfs2JtXxKG9hymg0ReQ,1894 Cafe,St. Louis,MO,"Cafes, Restaurants, Fast Food"
53,rjdUiKAXXYHIH20zVTcPXw,19 Degrees,Philadelphia,PA,"Sandwiches, Restaurants, Delis, Cafes"
62,jOhRFAJYBHU3chGwg1e4_A,1st NE International Market,Philadelphia,PA,"Food, Grocery, Restaurants, International Grocery, Asian Fusion"
63,x67huqR9qbjoodRBu3KWfg,1st NE International Market,Philadelphia,PA,"Cantonese, Grocery, Food, Chinese, Restaurants, International Grocery, Cafes"
73,s5nduiTPNps4_2p9ZoHDbA,2 Street Sammies,Philadelphia,PA,"Event Planning & Services, Street Vendors, Salad, Caterers, Food, Sandwiches, Restaurants"
75,DfIZd-uCYMBOXfFOvnAeZQ,2 in One Cafe,Philadelphia,PA,"Restaurants, Asian Fusion"
116,RloVMlIr8kP8Sn609loBTg,30/90 NOLA,New Orleans,LA,"Nightlife, Cocktail Bars, Restaurants, Arts & Entertainment, Bars, Music Venues, American (New), Jazz & Blues"
117,SxHcct-HAqUR22bVyYq-0Q,3000 Bar,Nashville,TN,"Nightlife, Hookah Bars, Restaurants, Sports Bars, Bars"
135,70VI6reR3oDXWhRRgpTRTQ,3J's Food Market  Fishtown,Philadelphia,PA,"Food, Grocery, Delis, Beer, Wine & Spirits, Restaurants"
147,6l94PpuWW91PxOWHcfxdcw,400 Olive,Saint Louis,MO,"American (New), Restaurants"
151,G1_plUowmMGqM44TNVjr5A,4404 Restaurant,Edmonton,AB,"Restaurants, Canadian (New), American (New)"
152,BTblqXsOHMXjcgcYkdzuqg,47 Scott,Tucson,AZ,"Restaurants, Nightlife, Breakfast & Brunch, American (Traditional), Comfort Food, Bars, American (New), Cocktail Bars, Gastropubs"
155,l3xN428CnbxmlFhzP95tuQ,4th & Peabody,Nashville,TN,"Restaurants, Lounges, Nightlife, Cocktail Bars, Breakfast & Brunch, Bars"
159,bHqxzEXdvY4M6wdnkYzpVA,5 Agaves Mexican Restaurant Bar & Grill,Old Hickory,TN,"Restaurants, Tacos, Bars, Nightlife, Mexican"
167,uYZPcVLuCrnTZYmmTZMzjQ,52nd Skyline Restaurant,Philadelphia,PA,"Breakfast & Brunch, Restaurants, American (Traditional), Comfort Food"
176,nQeu2F4xOiKoXIp-9engUw,5th & Taylor,Nashville,TN,"Southern, Bars, Nightlife, Restaurants, Breakfast & Brunch, American (New), American (Traditional)"
177,EsWK0iFw3uNxyEaTEOzhyQ,5th Ave Grill and Bar,Beech Grove,IN,"Restaurants, Bars, Nightlife, American (Traditional)"
181,tAYDA1RuZfG88zF6Pzp8cw,615 Chutney,Nashville,TN,"Food Trucks, Food, Vegetarian, Vegan, Restaurants, Indian, Street Vendors"
185,j2ix9c4vxxoRgS_U6IBLvQ,7 Boys Cafe,Philadelphia,PA,"Seafood, Restaurants"
187,DOVvbLt2HDGPnVCYU7IL2Q,7 Tap Tavern,Mount Laurel,NJ,"Bars, Restaurants, Burgers, Sandwiches, Pubs, Nightlife"
196,lX5vyFhkQNEsUtmePKefWA,813 Salad And Seafood,Tampa,FL,"Restaurants, Salad, Soul Food, Seafood, American (New)"
201,VdfcZjjwTGnGPjB2Ehz5bA,87 Pizza & Donair,Edmonton,AB,"Restaurants, Mediterranean, Pizza, Burgers"
212,zICx8bucEon3x6kG6VY27Q,99 Hops House - St. Louis,Maryland Heights,MO,"Barbeque, American (Traditional), Restaurants"
241,zgGdNJdYjlWDmOIxrJhQ1w,A Little Thai Kitchen,Cherry Hill,NJ,"Thai, Restaurants"
249,rlfWeYI1SLvC8ZKM_OvXWA,A Slice of Woodstock's,Santa Barbara,CA,"Pizza, Gluten-Free, Restaurants, Event Planning & Services, Caterers"
251,nziDA4MyxMLjhMIktXSHpA,A Taste Of Thai Cuisine,Reno,NV,"Thai, Restaurants"
253,SEMZDefzxY3v4SUYdaa0XQ,A Taste of China,Saint Louis,MO,"Restaurants, Chinese"
263,S6ix_JnnUAv3k1quNE1GlA,A' Amor'e Pizzeria Grill & Pub,Pinellas Park,FL,"Nightlife, Restaurants, Pizza, Sandwiches, Pubs, Bars"
267,I0aLpV_Tl6Sixr1xzJRPUw,A-1 Wok Restaurant,Saint Louis,MO,"Restaurants, Chinese"
270,HvpmnrUnwItse09pOzpioA,A. R. French Pizzeria & Tavern,New Port Richey,FL,"Italian, Chicken Wings, Restaurants, Pizza"
271,pbHUglsehzeP4hPZX3IoaA,A.Cafe AKA Cafe,Philadelphia,PA,"American (New), Restaurants"
275,Dkd79Fc5q6Y_KXLGYFGsXA,AAA Fish House,Saint Louis,MO,"Restaurants, Seafood"
277,BGiPAfbulCyIaRc_3EE7VQ,ABC Pizza,Zephyrhills,FL,"Soup, Pizza, Desserts, Restaurants, Food, Greek"
287,-y5vYOsyL4bSFxeOtQtYbg,AJ's Fine Foods,Tucson,AZ,"Delis, Bakeries, Food, Grocery, Restaurants"
290,pEvFMovlRwKvG8dqdnZv2A,AJs Smashed and Smoked,Belleville,IL,"Restaurants, Hot Dogs, Burgers, Sandwiches"
301,PKu0nwP5rT6QhKgzlXX7_w,ASO Ramen,Fishers,IN,"Japanese, Noodles, Restaurants, Ramen"
319,83dwuGZvud3OltcGek8TqA,Abm Minimart & Deli,Clearwater Beach,FL,"Food, Beer, Wine & Spirits, Delis, Restaurants, Sandwiches"
322,t3uOJKilXAzO7vC2B83RZg,Abruzzi Pizza,Brookhaven,PA,"Restaurants, Pizza"
